Time,Letter
2023-12-03 14:35:16.475238,t
2023-12-03 14:35:16.549439,t
2023-12-03 14:35:16.909321,r
2023-12-03 14:35:16.991450,r
2023-12-03 14:35:17.243659,a
2023-12-03 14:35:17.339312,a
2023-12-03 14:35:17.561410,c
2023-12-03 14:35:17.655771,c
2023-12-03 14:35:17.988845,k
2023-12-03 14:35:18.064331,k
2023-12-03 14:35:18.439049,space
2023-12-03 14:35:18.559617,space
2023-12-03 14:35:18.999722,s
2023-12-03 14:35:19.107750,s
2023-12-03 14:35:20.241058,h
2023-12-03 14:35:20.339287,h
2023-12-03 14:35:20.670820,o
2023-12-03 14:35:20.752268,o
2023-12-03 14:35:21.126893,c
2023-12-03 14:35:21.217341,c
2023-12-03 14:35:21.505285,k
2023-12-03 14:35:21.562635,k
2023-12-03 14:35:21.851749,space
2023-12-03 14:35:21.957136,space
2023-12-03 14:35:22.418759,c
2023-12-03 14:35:22.497322,c
2023-12-03 14:35:22.854051,l
2023-12-03 14:35:22.932269,l
2023-12-03 14:35:23.136395,i
2023-12-03 14:35:23.224501,i
2023-12-03 14:35:23.496742,m
2023-12-03 14:35:23.573975,m
2023-12-03 14:35:24.001788,b
2023-12-03 14:35:24.112461,b
2023-12-03 14:35:24.476297,enter
